category,type,text,difficulty,points,answers (separated by |),correctAnswer
Entertainment,Dare,ท้าให้ทำ: ร้องเพลงชาติไทยให้เพี้ยนที่สุด,easy,100,,
Entertainment,Dare,ท้าให้ทำ: ทำท่าตายแบบตัวประกอบ,easy,100,,
Knowledge,Truth,ดาวเคราะห์ใหญ่สุดในระบบสุริยะ?,easy,100,โลก | ดาวเสาร์ | ดาวพฤหัส | ดาวอังคาร,ดาวพฤหัส
Knowledge,Truth,ปลาโลมา เป็นสัตว์ประเภทไหน?,easy,100,ปลา | สัตว์เลี้ยงลูกด้วยนม | สัตว์เลื้อยคลาน | สัตว์ปีก,สัตว์เลี้ยงลูกด้วยนม
Knowledge,Truth,ม้าก้านกล้วย ภาคไหนเล่น?,easy,100,เหนือ | อีสาน | กลาง | ทุกภาค,ทุกภาค
Knowledge,Truth,ภูเขาที่สูงที่สุดในโลกคือ?,easy,100,ฟูจิ | เอเวอเรสต์ | คิลิมันจาโร | ดอยอินทนนท์,เอเวอเรสต์
Knowledge,Truth,น้ำมีสูตรทางเคมีว่าอะไร?,easy,100,CO2 | O2 | H2O | NaCl,H2O
Knowledge,Truth,กรุงเทอมหานคร มีชื่อย่อภาษาอังกฤษว่า?,easy,100,BKK | CNX | HKT | DMK,BKK
Knowledge,Truth,วันที่ 14 กุมภาพันธ์ คือวันอะไร?,easy,100,วันแม่ | วันพ่อ | วันวาเลนไทน์ | วันครู,วันวาเลนไทน์
Knowledge,Truth,สีตรงข้ามของสีขาวคือ?,easy,100,สีแดง | สีดำ | สีน้ำเงิน | สีเทา,สีดำ
Knowledge,Dare,"ท้าให้ทำ: พูดชื่อจังหวัดลงท้าย ""บุรี"" 5 ชื่อ",easy,100,,
Knowledge,Dare,ท้าให้ทำ: กลั้นหายใจจนกว่าเพื่อนจะนับ 20,easy,100,,
Office,Truth,ลูกจ้างมีสิทธิ์ลาป่วยได้ปีละกี่วัน (โดยได้รับค่าจ้าง)?,hard,300,15 วัน | 30 วัน | 45 วัน | 60 วัน,30 วัน
Office,Truth,"""KPI"" ตัวชี้วัดผลงาน ย่อมาจากอะไร?",hard,300,Key Person Index | Key Performance Indicator | Keep People In | Key Point Indicator,Key Performance Indicator
Office,Truth,การทำงานล่วงเวลา (OT) ในวันทำงานปกติ ต้องจ่ายค่าจ้างกี่เท่า?,hard,300,1 เท่า | 1.5 เท่า | 2 เท่า | 3 เท่า,1.5 เท่า
Office,Truth,การลาบวช (สำหรับชายไทย) ตามกฎหมายลาได้สูงสุดกี่วัน (ขึ้นอยู่กับนโยบายบริษัท)?,hard,300,30 วัน | 60 วัน | 90 วัน | 120 วัน,60 วัน
Office,Truth,PDF ย่อมาจากอะไร?,hard,300,Public Data File | Portable Document Format | Personal Digital File | Print Document File,Portable Document Format
Office,Dare,"ท้าให้ทำ: ขาย ""ปากกา"" แท่งนี้ให้กรรมการซื้อ ภายใน 1 นาที",hard,300,,
Office,Dare,ท้าให้ทำ: โทรหาเพื่อนร่วมงาน (นอกเกม) ขอยืมเงิน 20 บาท,hard,300,,
Y2K,Truth,บัตรเติมเงิน AIS ในอดีต เรียกว่าบัตรอะไร?,hard,300,Happy Dprompt | 1-2-Call | Orange | Hutch,1-2-Call
Y2K,Truth,"นางเอก MV เพลง ""ซ่าส์...สั่นๆ"" ของ D2B คือใคร?",hard,300,เจนี่ เทียนโพธิ์สุวรรณ | โดนัท มนัสนันท์ | แตงโม นิดา | แพนเค้ก เขมนิจ,โดนัท มนัสนันท์
Y2K,Truth,ใคร ไม่ใช่ สมาชิกแก๊งเฟอร์บี้ (ดาราช่อง 3)?,hard,300,แต้ว ณฐพร | เต้ย จรินทร์พร | มิว นิษฐา | ญาญ่า อุรัสยา,ญาญ่า อุรัสยา
Y2K,Truth,"เพลง ""ใจนักเลง"" ต้นฉบับคือใคร?",hard,300,อ๊อฟ พงษ์พัฒน์ | เสก โลโซ | ปู พงษ์สิทธิ์ | หนุ่ย อำพล,อ๊อฟ พงษ์พัฒน์
Y2K,Dare,"ท้าให้ทำ: ร้องเพลง ""ซ่าส์...สั่นๆ"" ท่อนฮุค",hard,300,,
Viral,Truth,"เพลง ""APT."" เป็นผลงานของ Rosé กับใคร?",hard,300,Bruno Mars | Justin Bieber | The Weeknd | Ed Sheeran,Bruno Mars
Viral,Truth,"แอปพลิเคชัน ""Threads"" สร้างมาแข่งกับแอปฯ ใด?",hard,300,Facebook | TikTok | Twitter (X) | Instagram,Twitter (X)
Viral,Truth,"คำว่า ""Y2K"" ย่อมาจากปีอะไร?",hard,300,Year 2 Kilos | Year 2000 | Yes 2 Kids | Year 20 K,Year 2000
Viral,Truth,สีประจำปี 2024 (Pantone) คือโทนสีอะไร?,hard,300,Peach Fuzz (ส้มพีช) | Classic Blue (น้ำเงิน) | Viva Magenta (แดงม่วง) | Ultimate Gray (เทา),Peach Fuzz (ส้มพีช)
Viral,Truth,"เพลง ""หมูเด้ง"" มีจังหวะดนตรีแบบใด?",hard,300,สามช่า | หมอลำ | ร็อค | แร็ป,สามช่า
Viral,Dare,ท้าให้ทำ: แร็ปแนะนำตัว 4 บรรทัด,hard,300,,
Food,Truth,สุกี้กับชาบู ต่างกันที่อะไรหลักๆ?,hard,300,ราคา | น้ำจิ้มและการกิน | ชนิดผัก | ขนาดหม้อ,น้ำจิ้มและการกิน
Food,Truth,ห้ามเอาอะไรเข้าไมโครเวฟทั้งเปลือก?,hard,300,ขนมปัง | ไก่ทอด | ไข่ไก่ | ผักต้ม,ไข่ไก่
Food,Truth,บะหมี่กึ่งสำเร็จรูปยี่ห้อแรกของไทย?,hard,300,มาม่า | ไวไว | ยำยำ | นิสชิน,ยำยำ
Food,Truth,"""ข้าวผัดอเมริกัน"" กำเนิดที่ไหน?",hard,300,อเมริกา | ไทย | อังกฤษ | ญี่ปุ่น,ไทย
Food,Truth,สารอาหารใดให้พลังงานมากที่สุด (9 kcal/g)?,hard,300,โปรตีน | คาร์โบไฮเดรต | ไขมัน | วิตามิน,ไขมัน
Food,Truth,"ภาคเหนือเรียก ""ขนมจีน"" ว่าอะไร?",hard,300,ข้าวปุ้น | ข้าวซอย | ขนมเส้น | ก๋วยจั๊บ,ขนมเส้น
Food,Truth,แซลมอนดิบ ส่วนที่มีไขมันแทรกสวยงามเรียกว่า?,hard,300,Sashimi | Sushi | Otoro/Belly | Maki,Otoro/Belly
Food,Dare,ท้าให้ทำ: กินมะนาว 1 ชิ้น ห้ามทำหน้าเปรี้ยว,hard,300,,
Food,Dare,ท้าให้ทำ: ปิดตาทายยี่ห้อน้ำอัดลม,hard,300,,
Entertainment,Truth,พระเอก Crash Landing on You?,hard,300,กงยู | ลีมินโฮ | ฮยอนบิน | ซงจุงกิ,ฮยอนบิน
Entertainment,Truth,ชื่อทางการของรางวัล Oscar?,hard,300,Golden Globe | Grammy | Academy Awards | Emmy,Academy Awards
Entertainment,Truth,ชื่อเดิมของ Bodyslam?,hard,300,ละอ่อน | กะลา | ไอน้ำ | แคลช,ละอ่อน
Entertainment,Truth,นางเอกคู่ขวัญคนแรกของ เจมส์ จิ?,hard,300,ญาญ่า | คิมเบอร์ลี่ | เบลล่า | แต้ว,เบลล่า
Entertainment,Truth,"ค่ายเพลงยักษ์ใหญ่ของเกาหลี ""SM, YG, JYP"" ขาดอีกค่ายคือ?",hard,300,CUBE | HYBE | STARSHIP | GMM,HYBE
Entertainment,Truth,"ภาพยนตร์เรื่อง ""Harry Potter"" มีทั้งหมดกี่ภาค (นับตามหนังสือ)?",hard,300,5 ภาค | 6 ภาค | 7 ภาค | 8 ภาค,7 ภาค
Entertainment,Truth,ใคร ไม่ใช่ กรรมการ The Voice Thailand ซีซั่นแรก?,hard,300,โค้ชก้อง | โค้ชแสตมป์ | โค้ชโจอี้ | โค้ชดา,โค้ชดา
Entertainment,Dare,ท้าให้ทำ: เต้น Moonwalk ถอยหลัง,hard,300,,
Knowledge,Truth,"แบงก์ 1,000 (ร.10) ด้านหลังคือรูปใคร?",hard,300,ร.5 | ร.9 | ร.5+ร.10 | ร.9+ร.10,ร.9+ร.10
Knowledge,Truth,ประเทศอาเซียนที่ไม่มีทางออกทะเล?,hard,300,พม่า | ลาว | เวียดนาม | กัมพูชา,ลาว
Knowledge,Truth,รหัสไปรษณีย์ขึ้นต้นด้วยเลข 1 คือ?,hard,300,เหนือ | ใต้ | กทม./ปริมณฑล | อีสาน,กทม./ปริมณฑล
Knowledge,Truth,สัตว์ชนิดใด ไม่ใช่ สัตว์สงวนของไทย?,hard,300,พะยูน | เลียงผา | สมเสร็จ | ช้างป่า,ช้างป่า
Knowledge,Truth,1 ปีอธิกสุรทิน (ปีที่มี 29 ก.พ.) มีกี่วัน?,hard,300,364 วัน | 365 วัน | 366 วัน | 367 วัน,366 วัน
Knowledge,Truth,ใครเป็นคนคิดค้นหลอดไฟ?,hard,300,ไอน์สไตน์ | นิวตัน | เอดิสัน | เทสลา,เอดิสัน
Knowledge,Dare,ท้าให้ทำ: ท่อง ก-ฮ ถอยหลัง (ฮ-อ) 5 ตัว,hard,300,,
Office,Truth,"ตามกฎหมายแรงงาน ""ช่วงทดลองงาน"" (Probation) ต้องแจ้งไม่ผ่านก่อนกี่วัน?",medium,200,60 วัน | 90 วัน | 119 วัน | 180 วัน,119 วัน
Office,Truth,"ในการส่งอีเมล คำว่า ""CC"" ย่อมาจากอะไร?",medium,200,Copy Cat | Carbon Copy | Company Contact | Current Copy,Carbon Copy
Office,Truth,ประกันสังคม ม.33 หักเงินสมทบสูงสุดเดือนละกี่บาท?,medium,200,"450 บาท | 750 บาท | 1,000 บาท | 1,500 บาท",750 บาท
Office,Truth,"คำศัพท์ธุรกิจ ""B2B"" ย่อมาจากอะไร?",medium,200,Back to Basic | Business to Business | Buyer to Business | Boss to Boss,Business to Business
Office,Truth,ฟอนต์ภาษาไทยมาตรฐานสำหรับหนังสือราชการคือ?,medium,200,Angsana New | Cordia New | TH Sarabun PSK | Browallia New,TH Sarabun PSK
Office,Truth,"คำว่า ""Pitching"" ในวงการเอเจนซี่หมายถึงอะไร?",medium,200,การไล่ออก | การนำเสนองานขาย | การรับพนักงานใหม่ | การจัดปาร์ตี้,การนำเสนองานขาย
Office,Truth,โปรแกรมใด ไม่ใช่ โปรแกรมในชุด Microsoft Office?,medium,200,Word | Excel | Photoshop | PowerPoint,Photoshop
Office,Truth,"""Soft Skill"" ที่สำคัญในการแก้ปัญหาความขัดแย้งคือ?",medium,200,Coding | Empathy | Accounting | Writing,Empathy
Office,Dare,ท้าให้ทำ: พิมพ์ข้อความตามที่บอกลงมือถือ ห้ามผิดแม้แต่ตัวเดียว,medium,200,,
Office,Dare,ท้าให้ทำ: พูดชื่อเพื่อนร่วมงานในแผนกให้ครบทุกคนภายใน 30 วินาที,medium,200,,
Y2K,Truth,เดิมที โดราเอมอน มีสีอะไรก่อนจะตัวลอก?,medium,200,สีฟ้า | สีเหลือง | สีแดง | สีขาว,สีเหลือง
Y2K,Truth,Girly Berry มีสมาชิกทั้งหมดกี่คน?,medium,200,3 คน | 4 คน | 5 คน | 6 คน,4 คน
Y2K,Truth,"โปรแกรมแชท MSN สัญลักษณ์สถานะ ""Online"" เป็นรูปคนสีอะไร?",medium,200,สีฟ้า | สีเขียว | สีส้ม | สีแดง,สีเขียว
Y2K,Truth,"""แม่มา แม่มา"" เป็นวลีเด็ดจากละครเรื่อง?",medium,200,อังกอร์ | ป่านางเสือ | ธิดาวานร | เสือสั่งฟ้า,ธิดาวานร
Y2K,Truth,F4 ไต้หวัน มีสมาชิกกี่คน?,medium,200,3 คน | 4 คน | 5 คน | 6 คน,4 คน
Y2K,Truth,"หนังเรื่อง ""แฟนฉัน"" พระเอกชื่อว่าอะไร?",medium,200,เจี๊ยบ | น้อยหน่า | แจ็ค | ตี๋,เจี๊ยบ
Y2K,Truth,"วง ""Blackhead"" นักร้องนำชื่ออะไร?",medium,200,ปู | โป่ง | ป้อม | ปั๊บ,ปู
Y2K,Dare,"ท้าให้ทำ: เต้นท่า ""เกรงใจ"" (Raptor) 30 วินาที",medium,200,,
Y2K,Dare,"ท้าให้ทำ: เลียนเสียง ""ชินจัง""",medium,200,,
Viral,Truth,"เจ้าของเพลง ""ทรงอย่างแบด"" คือวง?",medium,200,Potato | Paradox | Paper Planes | Tilly Birds,Paper Planes
Viral,Truth,เหรียญคริปโตสกุลแรกของโลกคือ?,medium,200,Ethereum | Dogecoin | Bitcoin | USDT,Bitcoin
Viral,Truth,TikTok มาจากประเทศอะไร?,medium,200,อเมริกา | ญี่ปุ่น | เกาหลี | จีน,จีน
Viral,Truth,Pop Mart ขายสินค้าอะไรเป็นหลัก?,medium,200,เสื้อผ้า | ขนม | Art Toy | เครื่องสำอาง,Art Toy
Viral,Truth,"""Labubu"" คือคาแรคเตอร์ที่มีลักษณะเด่นคือ?",medium,200,หูยาว ฟันแหลม | ตัวสีชมพู | มี 3 ตา | ไม่มีปาก,หูยาว ฟันแหลม
Viral,Truth,"คำว่า ""ฉ่ำ"" ในภาษาวัยรุ่นแปลว่า?",medium,200,เปียกแฉะ | มาก/เยอะ/สะใจ | หวานเจี๊ยบ | เศร้าหมอง,มาก/เยอะ/สะใจ
Viral,Truth,"ใครคือเจ้าของฉายา ""พี่จอง-คัลแลน""?",medium,200,ยูทูบเบอร์สายกิน | ยูทูบเบอร์สายเที่ยว | นักร้องเกาหลี | ดาราซีรีส์,ยูทูบเบอร์สายเที่ยว
Viral,Truth,"""ChatGPT"" เป็นเทคโนโลยีประเภทใด?",medium,200,Robot | AI Hardware Acceleration | Metaverse | AI Service,AI Service
Viral,Truth,แอปฯ ทางรัฐ ใช้ทำอะไรเป็นหลัก (ช่วงปี 2024)?,medium,200,จ่ายค่าไฟ | รับเงินดิจิทัลวอลเล็ต | จองคิวหมอ | ซื้อหวย,รับเงินดิจิทัลวอลเล็ต
Viral,Dare,ท้าให้ทำ: เต้นเพลง TikTok ที่ฮิตที่สุดตอนนี้ 15 วินาที,medium,200,,
Viral,Dare,"ท้าให้ทำ: ห้ามพูด ""คะ/ครับ"" 1 นาที",medium,200,,
Food,Truth,7-Eleven มาจากประเทศอะไร?,medium,200,ญี่ปุ่น | ไทย | อเมริกา | จีน,อเมริกา
Food,Truth,ไข่ต้ม 1 ฟอง ให้พลังงานประมาณ?,medium,200,20 kcal | 70-80 kcal | 150 kcal | 200 kcal,70-80 kcal
Food,Truth,จังหวัดใดดังเรื่องหมูย่าง?,medium,200,ภูเก็ต | เชียงใหม่ | ตรัง | หาดใหญ่,ตรัง
Food,Truth,"""Omakase"" แปลว่า?",medium,200,ของแพง | ปลาดิบ | ตามใจเชฟ | อร่อยมาก,ตามใจเชฟ
Food,Truth,"ผลไม้ชนิดใดถูกเรียกว่า ""ราชาแห่งผลไม้"" ในไทย?",medium,200,มังคุด | ทุเรียน | มะม่วง | ขนุน,ทุเรียน
Food,Truth,ร้านอาหาร MK สุกี้ มีเมนูซิกเนเจอร์คือ?,medium,200,ไก่ทอด | เป็ดย่าง | หมูกรอบ | ปลาเผา,เป็ดย่าง
Food,Truth,เครื่องดื่มชนิดใดมีคาเฟอีนมากที่สุด?,medium,200,โค้ก | ชาเขียว | กาแฟเอสเพรสโซ่ | น้ำส้ม,กาแฟเอสเพรสโซ่
Food,Dare,ท้าให้ทำ: บอกชื่อเมนูไข่ 10 อย่าง ใน 20 วินาที,medium,200,,
Food,Dare,ท้าให้ทำ: รีวิวรสชาติน้ำเปล่าให้น่ากิน,medium,200,,
Entertainment,Truth,หนังไทยรายได้สูงสุดตลอดกาล (2024)?,medium,200,สัปเหร่อ | หลานม่า | พี่มาก..พระโขนง | ชัตเตอร์,พี่มาก..พระโขนง
Entertainment,Truth,BNK48 เป็นวงน้องของ?,medium,200,AKB48 | SKE48 | HKT48 | JKT48,AKB48
Entertainment,Truth,หน้ากากทุเรียน คือใคร?,medium,200,ตู่ ภพธร | ทอม อิศรา | เป๊ก ผลิตโชค | แสตมป์,ทอม อิศรา
Entertainment,Truth,ศิลปิน K-POP สัญชาติไทยคนแรกๆ ในวง 2PM?,medium,200,แบมแบม | ลิซ่า | นิชคุณ | เตนล์,นิชคุณ
Entertainment,Truth,"ละคร ""กรงกรรม"" ตัวละคร ""แม่ย้อย"" แสดงโดย?",medium,200,แอน ทองประสม | นุ่น วรนุช | ใหม่ เจริญปุระ | ชมพู่ อารยา,ใหม่ เจริญปุระ
Entertainment,Truth,"ใครคือ ""ราชินีลูกทุ่ง"" ตลอดกาลของไทย?",medium,200,ต่าย อรทัย | พุ่มพวง ดวงจันทร์ | สุนารี ราชสีมา | ฮาย อาภาพร,พุ่มพวง ดวงจันทร์
Entertainment,Truth,ซีรีส์ Squid Game มีชื่อไทยว่า?,medium,200,เกมปลาหมึก | เกมมรณะ | เกมลุ้นตาย | เกมล่าฆ่า,เล่นลุ้นตาย (Squid Game)
Entertainment,Truth,"พระเอกหนัง ""John Wick"" รับบทโดย?",medium,200,Tom Cruise | Brad Pitt | Keanu Reeves | The Rock,Keanu Reeves
Entertainment,Dare,"ท้าให้ทำ: เล่นฉาก ""ตบจูบ"" กับอากาศ",medium,200,,
Entertainment,Dare,ท้าให้ทำ: เลียนเสียงดาราให้เพื่อนทาย,medium,200,,
Knowledge,Truth,สัตว์ใดนอนหลับโดยลืมตา?,medium,200,ม้า | ปลา | แมว | นก,ปลา
Knowledge,Truth,จังหวัดพื้นที่มากที่สุดในไทย?,medium,200,เชียงใหม่ | นครราชสีมา | กาญจนบุรี | ตาก,นครราชสีมา
Knowledge,Truth,โอลิมปิก 2024 จัดที่ไหน?,medium,200,ญี่ปุ่น | ฝรั่งเศส | จีน | อเมริกา,ฝรั่งเศส
Knowledge,Truth,อวัยวะใดฟอกเลือด?,medium,200,หัวใจ | ปอด | ตับ | ไต,ไต
Knowledge,Truth,จำนวนจังหวัดในประเทศไทยปัจจุบัน (รวม กทม.) มีกี่จังหวัด?,medium,200,75 | 76 | 77 | 78,77
Knowledge,Truth,โลกหมุนรอบตัวเองใช้เวลาเท่าไหร่?,medium,200,12 ชม. | 24 ชม. | 30 วัน | 365 วัน,24 ชม.
Knowledge,Dare,ท้าให้ทำ: คูณ 12x12x2 ในใจ ตอบใน 5 วิ,medium,200,,
Knowledge,Dare,ท้าให้ทำ: ยืนกระต่ายขาเดียว หลับตา 30 วิ,medium,200,,
Office,Truth,"คำย่อ ""EOD"" ที่มักใช้ในการกำหนดส่งงาน แปลว่าอะไร?",easy,100,End of Day | End of Date | End of Deal | Every Other Day,End of Day
Office,Truth,ภาษีเงินได้บุคคลธรรมดา ใช้แบบฟอร์มชื่อว่าอะไร?,medium,200,ภ.พ. 30 | ภ.ง.ด. 90/91 | ภ.ง.ด. 1 | ภ.ธ. 40,ภ.ง.ด. 90/91
Office,Truth,"ในที่ประชุม ถ้าเจ้านายบอกว่า ""FYI"" ย่อมาจากอะไร?",easy,100,For Your Information | For Your Idea | For Your Interest | For You Ignore,For Your Information
Office,Truth,โปรแกรม Zoom โลโก้พื้นหลังเป็นสีอะไร?,easy,100,สีเขียว | สีฟ้า/น้ำเงิน | สีแดง | สีส้ม,สีฟ้า/น้ำเงิน
Office,Truth,"คำว่า ""WFH"" ย่อมาจาก?",easy,100,Work From Home | Wait For Home | Work For Him | Walk From Home,Work From Home
Office,Truth,กระดาษ A4 มีขนาดกว้าง x ยาว เท่าไหร่ (โดยประมาณ)?,hard,300,190 x 280 mm | 210 x 297 mm | 250 x 350 mm | 297 x 420 mm,210 x 297 mm
Office,Truth,ประกันสังคม มาตรา 40 คือผู้ประกันตนกลุ่มใด?,hard,300,พนักงานเอกชน | ข้าราชการ | อาชีพอิสระ/ฟรีแลนซ์ | พนักงานรัฐวิสาหกิจ,อาชีพอิสระ/ฟรีแลนซ์
Office,Dare,"ท้าให้ทำ: ทำท่า ""แอบหลับในที่ประชุม"" แล้วสะดุ้งตื่น เนียนๆ",easy,100,,
Office,Dare,"ท้าให้ทำ: แสดงบทบาทสมมติ ""ไล่พนักงานออก"" ด้วยน้ำเสียงที่นุ่มนวลที่สุด",hard,300,,
Office,Dare,ท้าให้ทำ: พูดย่อความเก่งของตัวเองใน 3 คำ (ห้ามหยุดคิดนาน),medium,200,,
Y2K,Truth,"เกมออนไลน์ ""Ragnarok"" สกุลเงินในเกมเรียกว่าอะไร?",medium,200,Gold | Gil | Zeny | Baht,Zeny
Y2K,Truth,วงบอยแบนด์ D2B ประกอบด้วยสมาชิกชื่ออะไรบ้าง?,medium,200,แดน บีม บิ๊ก | แดน บอม บิ๊ก | ดอม บีม บอย | แดน บอย บิ๊ก,แดน บีม บิ๊ก
